statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2013-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;80767463;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1960-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;55958321;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2015-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;82175684;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1962-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;57247246;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1976-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;61441996;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1993-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;81338093;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2017-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;82792351;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1966-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;59792934;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1964-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;58587451;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2002-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;82536680;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1951-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;51434777;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1981-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;61712689;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1996-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;82012162;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1979-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;61439342;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1985-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;61020474;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2004-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;82500849;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2021-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;83237124;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1983-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;61306669;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1955-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;53517683;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1968-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;60463033;Anzahl;BEVSTD;Bevölkerungsstand;e
